Plot,Title,imdbVotes,Poster,imdbRating,Genre,imdbID,Year,Language
"Despite his tarnished reputation after the events of The Dark Knight, in which he took the rap for Dent's crimes, Batman feels compelled to intervene to assist the city and its police force which is struggling to cope with Bane's plans to destroy the city.",The Dark Knight Rises,2679,http://ia.media-imdb.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,75,"Action, Thriller",tt1345836,2012,English
0,0,0,0,0,0,0,0,0
"Based on the novel written by Stephen Chbosky, this is about 15-year-old Charlie (Logan Lerman), an endearing and naive outsider, coping with first love (Emma Watson), the suicide of his best friend, and his own mental illness while struggling to find a group of people with whom he belongs. The introvert freshman is taken under the wings of two seniors, Sam and Patrick, who welcome him to the real world.",The Perks of Being a Wallflower,1270,http://ia.media-imdb.com/images/M/MV5BMzIxOTQyODU1OV5BMl5BanBnXkFtZTcwMDQ4Mjg4Nw@@._V1_SX300.jpg,71,"Drama, Romance",tt1659337,2012,English
"Mike Lane is a thirty-year old living in Tampa,Florida. By day he works as a roofer whilst at night, as Magic Mike, he is the star attraction of the Kings of Tampa, a group of male strippers. Secretly he wants out in order to further a projected furniture-making business but his credit rating precludes a bank loan for this despite his considerable savings. One night Adam, a teen-aged work-mate of Mike, follows him to the club and, when one of the acts is unable to go on,he is prevailed upon to strip - becoming a huge hit. However success goes to his head and his foolish actions not only threaten to jeopardize his sister Brooke's relationship with Mike but Mike's ambitions as well.",Magic Mike,2580,http://ia.media-imdb.com/images/M/MV5BMTQzMDMzOTA5M15BMl5BanBnXkFtZTcwMjc4MTg4Nw@@._V1_SX300.jpg,51,"Comedy, Drama",tt1915581,2012,English
"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory (Ralph Fiennes), the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve (Naomie Harris) - following a trail to the mysterious Silva (Javier Bardem), whose lethal and hidden motives have yet to reveal themselves.",Skyfall,1807,http://ia.media-imdb.com/images/M/MV5BMjAyODkzNDgzMF5BMl5BanBnXkFtZTcwMDMxMDI4Nw@@._V1_SX300.jpg,68,"Action, Thriller",tt1074638,2012,English
"Against medical advice and without the knowledge of her husband Pat Solatano Sr., caring Dolores Solatano discharges her adult son, Pat Solatano Jr., from a Maryland mental health institution after his minimum eight month court ordered stint. The condition of the release includes Pat Jr.'s moving back in with his parents in their Philadelphia home. Although Pat Jr.'s institutionalization was due to his beating up the lover of his wife Nikki, he was diagnosed with bipolar disorder. Nikki has since left him and has received a restraining order against him. Although he is on medication (which he doesn't take because of the way it makes him feel) and has mandatory therapy sessions, Pat Jr. feels like he can manage on the outside solely by healthy living and looking for the ""silver linings"" in his life. His goals are to get his old job back as a substitute teacher, but more importantly reunite with Nikki. He finds there are certain instances where he doesn't cope well, however no less so than some others who have never been institutionalized, such as his Philadelphia Eagles obsessed OCD father who has resorted to being a bookie to earn a living, his best friend Ronnie who quietly seethes over the control wielded by his wife Veronica, and Veronica's widowed sister, Tiffany Maxwell, a recovering sex addict. In their fragile mental states, Pat Jr. and Tiffany embark on a love/hate friendship based primarily on what help the other can provide in achieving their individual goals. But they may reevaluate their goals as their relationship progresses.",Silver Linings Playbook,1828,http://ia.media-imdb.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_SX300.jpg,68,"Comedy, Drama, Romance",tt1045658,2012,English
A shy senior and a down-to-earth junior fall in love over the weekend.,The First Time,1538,http://ia.media-imdb.com/images/M/MV5BMjMxNDI1OTY5NF5BMl5BanBnXkFtZTcwMDExOTY1OA@@._V1_SX300.jpg,60,"Comedy, Drama, Romance",tt1763303,2012,English
"In California, the former Navy SEAL Chon and his best friend, the peaceful botanist Ben, are successful entrepreneurs producing and dealing high-quality weed. Chon brought seeds from Afghanistan and Ben used his knowledge to develop the best marijuana in the country. Chon and Ben share the pothead lover Ophelia and she loves both of them since they complete each other - Chon is a powerful and strong lover and Ben is a sensible and loving lover. Their comfortable life changes when the Mexican Baja Cartel demands a partnership in their business. Chon and Ben refuse the deal and the leader of the cartel Elena sends her right-arm in America, Lado, to abduct Ophelia to press the American drug dealers. Chon and Ben ask the support of the dirty DEA Agent Dennis and get inside information to begin a secret war against the Baja Cartel to release Ophelia.",Savages,2683,http://ia.media-imdb.com/images/M/MV5BMTk0ODIyNDAyMF5BMl5BanBnXkFtZTcwMTQ5Nzg3Nw@@._V1_SX300.jpg,55,"Crime, Drama, Thriller",tt1615065,2012,English
"Meet the Borgens. William Borgens is an acclaimed author who hasn't written a word since his ex-wife Erica left him 3 years ago for another man. In between spying on Erica and casual romps with his married neighbour Tricia, Bill is dealing with the complexities of raising his teenage children Samantha and Rusty. Samantha is publishing her first novel and is determined to avoid love at all costs - after all she's seen what it has done to her parents. In between hook ups, she meets ""nice guy"" Lou who will stop at nothing to win her over. Rusty, is an aspiring fantasy writer and Stephen King aficionado, who is on a quest to gain 'life experiences'. He falls for the beautiful, but troubled Kate and gets his first taste of love and a broken heart. A tale of family, love (lost and found), and how endings can make new beginnings. There are no rewrites in life, only second chances.",Stuck in Love,1832,http://ia.media-imdb.com/images/M/MV5BMTU1NzI5MDU3OV5BMl5BanBnXkFtZTcwNTE0NDMzOQ@@._V1_SX300.jpg,63,"Comedy, Drama, Romance",tt2205697,2012,English
"In 1874, in the Imperial Russia, the aristocratic Anna Karenina travels from Saint Petersburg to Moscow to save the marriage of her brother Prince Oblonsky, who had had a love affair with his housemaid. Anna Karenina has a cold marriage with her husband, Count Alexei Karenin, and they have a son. Anna meets the cavalry officer Count Vronsky at the train station and they feel attracted by each other. Soon she learns that Vronsky will propose Kitty, who is the younger sister of her sister-in-law Dolly. Anna satisfactorily resolves the infidelity case of her brother and Kitty invites her to stay for the ball. However, Anna Karenina and Vronsky dance in the ball, calling the attention of the conservative society. Soon they have a love affair that will lead Anna Karenina to a tragic fate.",Anna Karenina,2094,http://ia.media-imdb.com/images/M/MV5BMTU0NDgxNDg0NV5BMl5BanBnXkFtZTcwMjE4MzkwOA@@._V1_SX300.jpg,56,"Drama, Romance",tt1781769,2012,English
